record_id,facility_name,facility_type,district,latitude,longitude,beneficiary_value,beneficiary_type,beneficiary_reference_date,ghi_value,ghi_status,karhutla_class,karhutla_scope,karhutla_source_year,karhutla_scoring_eligibility,drought_class,drought_scope,drought_scoring_eligibility,historical_plts_context,data_readiness,critical_caveat
EDU-001,SMAN 1 SUNGAI RAYA,Sekolah,SUNGAI RAYA,-0.0762,109.3758,994,student_count,2026-09-10,,requires_exact_GSA_point_extraction,Tinggi,kecamatan proxy,2023,provisional,Rendah,kabupaten context only,no,,READY_WITH_LIMITATIONS,"Do not treat NULL beneficiary/GHI as zero. Karhutla is district proxy; drought is regency context, not site-specific."
EDU-002,SMAN 1 SUNGAI KAKAP,Sekolah,SUNGAI KAKAP,-0.0565,109.2021,778,student_count,2026-09-05,,requires_exact_GSA_point_extraction,Sedang,kecamatan proxy,2023,provisional,Rendah,kabupaten context only,no,,READY_WITH_LIMITATIONS,"Do not treat NULL beneficiary/GHI as zero. Karhutla is district proxy; drought is regency context, not site-specific."
EDU-003,SMP NEGERI 1 TERENTANG,Sekolah,TERENTANG,-0.3839,109.6277,,unknown,,,requires_exact_GSA_point_extraction,Sedang,kecamatan proxy,2023,provisional,Rendah,kabupaten context only,no,,READY_WITH_LIMITATIONS,"Do not treat NULL beneficiary/GHI as zero. Karhutla is district proxy; drought is regency context, not site-specific."
EDU-004,SMAN 1 KUBU,Sekolah,KUBU,-0.4882,109.3812,,unknown,,,requires_exact_GSA_point_extraction,Sedang,kecamatan proxy,2023,provisional,Rendah,kabupaten context only,no,,READY_WITH_LIMITATIONS,"Do not treat NULL beneficiary/GHI as zero. Karhutla is district proxy; drought is regency context, not site-specific."
EDU-005,SD NEGERI 22 BATU AMPAR,Sekolah,BATU AMPAR,-0.7245,109.5745,46,student_count,2026-08-30,,requires_exact_GSA_point_extraction,Sedang,kecamatan proxy,2023,provisional,Rendah,kabupaten context only,no,"Kecamatan memiliki 3 aset PLTS historis (Sumber Agung, Sungai Kerawang, Muara Tiga); tidak berarti fasilitas ini memiliki PLTS.",READY_WITH_LIMITATIONS,"Do not treat NULL beneficiary/GHI as zero. Karhutla is district proxy; drought is regency context, not site-specific."
EDU-006,SD NEGERI 07 BATU AMPAR,Sekolah,BATU AMPAR,-0.7516,109.5388,330,student_count,2026-08-30,,requires_exact_GSA_point_extraction,Sedang,kecamatan proxy,2023,provisional,Rendah,kabupaten context only,no,"Kecamatan memiliki 3 aset PLTS historis (Sumber Agung, Sungai Kerawang, Muara Tiga); tidak berarti fasilitas ini memiliki PLTS.",READY_WITH_LIMITATIONS,"Do not treat NULL beneficiary/GHI as zero. Karhutla is district proxy; drought is regency context, not site-specific."
EDU-007,SMKN 1 BATU AMPAR,Sekolah,BATU AMPAR,-0.7849,109.4548,,unknown,,,requires_exact_GSA_point_extraction,Sedang,kecamatan proxy,2023,provisional,Rendah,kabupaten context only,no,"Kecamatan memiliki 3 aset PLTS historis (Sumber Agung, Sungai Kerawang, Muara Tiga); tidak berarti fasilitas ini memiliki PLTS.",READY_WITH_LIMITATIONS,"Do not treat NULL beneficiary/GHI as zero. Karhutla is district proxy; drought is regency context, not site-specific."
HLT-001,PUSKESMAS PADANG TIKAR,Puskesmas,BATU AMPAR,-0.68395,109.27088,,unknown,,,requires_exact_GSA_point_extraction,Sedang,kecamatan proxy,2023,provisional,Rendah,kabupaten context only,no,"Kecamatan memiliki 3 aset PLTS historis (Sumber Agung, Sungai Kerawang, Muara Tiga); tidak berarti fasilitas ini memiliki PLTS.",READY_WITH_LIMITATIONS,"Do not treat NULL beneficiary/GHI as zero. Karhutla is district proxy; drought is regency context, not site-specific."
HLT-002,PUSKESMAS SUNGAI KERAWANG,Puskesmas,BATU AMPAR,-0.84319384,109.7554378,,unknown,,,requires_exact_GSA_point_extraction,Sedang,kecamatan proxy,2023,provisional,Rendah,kabupaten context only,no,"Kecamatan memiliki 3 aset PLTS historis (Sumber Agung, Sungai Kerawang, Muara Tiga); tidak berarti fasilitas ini memiliki PLTS. Nama desa/fasilitas terkait Sungai Kerawang sama dengan salah satu desa PLTS historis; hubungan fisik/operasional tidak boleh diasumsikan tanpa verifikasi.",READY_WITH_LIMITATIONS,"Do not treat NULL beneficiary/GHI as zero. Karhutla is district proxy; drought is regency context, not site-specific."
HLT-003,PUSKESMAS KUBU,Puskesmas,KUBU,-0.50136262,109.3756266,,unknown,,,requires_exact_GSA_point_extraction,Sedang,kecamatan proxy,2023,provisional,Rendah,kabupaten context only,no,,READY_WITH_LIMITATIONS,"Do not treat NULL beneficiary/GHI as zero. Karhutla is district proxy; drought is regency context, not site-specific."
